train_id,name,item_condition_id,category_name,brand_name,price,shipping,item_description
124,Miss me skinny jeans 26,4,"Women/Jeans/Slim, Skinny",Miss Me,17,0,Miss me style name skinny size 26 inseam 32 The miss me tag is missing 3 of the buttons and it lifts up a lil bit but buckle can have that fixed & in pic 4 there's ripping by the pocket when you out them on its a lil noticeable but not all the way ripped but can be sewed. Super cute and comfy
133,. BBW Mentha Lip Balms,1,Beauty/Makeup/Lips,Bath & Body Works,21,1,5 BBW lip balms and 1 Victoria's Secret sugar scrub.
134,New Brown leather Fossil purse.,2,Women/Women's Handbags/Messenger & Crossbody,Fossil,41,0,"Beautiful brown leather new Fossil purse. The outside has a snap/ zipper closure pocket, with gold hardware. Top entry is snap closure with inner divider, one large middle zipper pocket, with a good size zipper pocket. Has a Fossil keychain. 11"" L X 9"" H X 5"" D, and strap is 15""."
135,Nars dual intensity cheek palette,1,Beauty/Makeup/Face,Nars,39,0,New 100% authentic with box
143,LAUREN CONRAD PINK POLKA DOT BLOUSE,3,Women/Tops & Blouses/Blouse,LC Lauren Conrad,7,1,SUPER CUTE LAUREN CONRAD LIGHT PINK CHIFFON POLKA DOTTED BOUSE WITH A CUTE BOW TIE DETAIL IN THE BACK
145,Air Jordan 1 Breds 2016,1,Men/Shoes/Athletic,Air Jordan,250,1,"Sz 10 Never been worn, comes with receipt Don't sleep! These fresh af"
146,Teal Lululemon Sucba Zip up,3,Women/Sweaters/Full Zip,Lululemon,38,0,Teal and blue Lululemon Sucba Jacket. This jacket is in good condition it does show a little wear around the stiching as pictured (#2) it has a hood and collar. It is missing the string from the hoodie. Jacket also has thumb holes. Size 8
147,Mk purse,1,Women/Women's Handbags/Shoulder Bag,Michael Kors,79,0,Authentic. Price is negotiable
149,LIKE NEW IPHONE 5C,2,Electronics/Cell Phones & Accessories/Cell Phones & Smartphones,Apple,104,0,Just Upgraded So Now Finally Getting Rid Of My IPhone 5c. Phone is Unlocked and Can Be With Any Carrier ! I have a perfect score with 100% positive feedback so buy with confidence Comes with Charger & Outter Box No Cracks or Scratches Will Ship usually the next business day !
150,Kate spade mylie black hobo crossbody,1,Women/Women's Handbags/Hobo,Kate Spade,145,0,"Your ever-faithful companion, the Kate Spade New York? Cobble Hill Mylie shoulder bag embodies form and function like no other. Made of pebbled leather Top zip closure Flat shoulder/elbow strap Removable and adjustable crossbody strap Foil-stamped brand name and hardware spade logo Rear exterior zip pocket Flat base to provide upright structure Custom woven Bookstripe Print on Poly Twill interior lining Interior features one back-wall zip pocket Imported Bottom Width: 11 1?2 ""*Depth: 4 1?4 ""*Height: 9 "" Strap Length: 41 1?2 "" Strap Drop: 21"" Handle Length: 21 "" Handle Drop: 9 """
154,Iredesent Fishbowl Slime ~ free ship [rm],1,Kids/Toys/Arts & Crafts,Elmers,7,1,"Iridescent fishbowl slime : beautiful !! ***All Single Slimes are 2 OZ unless otherwise stated *** Special ** BUY 2 GET ONE FREE** (2 oz slimes )(???)? Just leave a message after our purchase. Free slimes will be send randomly (2 oz size) ( slime, floam , fishbowl, random color)=^_^=? (???) Activator ( tiny bottle enough for one slime) also will be provided for slime if it get too sticky? ** Items will be send through usps with tracking , once i shipped item it's out of my hands , please don't rate me poor because of post office fault !!**?¡Ñ¦ä¡Ñ"
161,7 Leapster Games,3,Kids/Toys/Learning & Education,Leap Frog,12,0,Various Leapster Games; Does not include the ratatouille & draw & write games!
168,Pandora Timeless Elegance Ring,2,Women/Jewelry/Rings,PANDORA,28,0,"Size 6 promise ring , I'm willing to bargain! Best offer takes home"
173,Rue 21 Long Cardigan,2,Women/Sweaters/Cardigan,rue,9,0,Worn only 2 times. Long and lace like material. Very comfortable. Tan colored. Size medium. Smoke and pest free home
181,FREE SHIP NWT VS PINK L BOYSHORT,1,Women/Underwear/Panties,PINK,11,1,"Brand new from Victoria's Secret PINK! NEW boyshort style Size large Halloween themed panty All over candy corn design PINK logo waistband Ask any questions you have! I'm here to help. ? Prices are typically FIRM unless bundled. Don't ask lowest & don't make a ridiculous offer. Bundles get a discount! ? I don't do trades or hold items. First come first serve: I need to sell as fast as possible, but I'm not desperate for a sale. ? If an item is still listed, it is still available & for sale. ? Understand that you NEED to rate after you receive your item. That's the only way I receive my funds. ? Please read my bio in my profile for more info! Thank you so much for looking & purchasing. I appreciate it! ?"
182,Victoria's Secret pink night shirt,2,Women/Tops & Blouses/Other,Victoria's Secret,12,0,From Victoria's Secret pink plaid and white pajama sleep shirt fits long Size medium Only worn once
184,Tank Tops,2,"Women/Tops & Blouses/Tank, Cami",aerie,10,1,Navy blue floral babydoll tank top from aerie and orange floral tank top from boutique. [rm] shipped for both!
186,New G by Guess Shoes,1,Women/Shoes/Sandals,GUESS,31,0,"Natural color, size 11"
190,Victoria's Secret SMALL Bikini Top,2,Women/Swimwear/Two-Piece,Victoria's Secret,9,0,In BRAND new condition just missing the strap
191,Rae Dunn mrs 2017,1,Home/Kitchen & Dining/Coffee & Tea Accessories,Rae Dunn,15,0,For Nicole Logan
192,Cherokee Purple XXSP Scrub Pants,3,Women/Pants/Casual Pants,Cherokee,10,1,"There are minor stains on the top & bottoms. The top is XXS, the bottoms are XXS petite. Cherokee does run big, so these should fit if you wear XS - Small in regular clothes. The color is closet to the 2nd pic. I also have the same pants in XXS regular length."
198,NIKE Air Max 95 Essentials,2,Men/Shoes/Athletic,Nike,54,0,"FLASH SALE !! TODAY (Sunday) ONLY !! 20% OFF Like New Purchased last May. Worn a few times. ,Retail [rm] Not in original box"
200,Bath & Body Works Banana Kiwi Colada,1,Beauty/Fragrance/Candles & Home Scents,Bath & Body Works,31,0,Selling this hard to find 3 wick candle test scent - it was exclusive to white barn - never been burned -
204,brand-new underwear,1,Women/Underwear/Panties,Calvin Klein,13,0,new. (men style). this is a great deal for these so if you don't think so please keep it moving!
205,Hamilton Beach electric kettle 10C,1,Home/Home Appliances/Kitchen Appliances,Hamilton Beach,16,0,NIB Item removed from box to test and to take photos. Comes with all parts for working order.. Stainless Steal We ship next day. We bundle BIN#32
206,Under armour blue hoodie size small,3,Women/Sweaters/Hooded,Under Armour,9,1,"Aqua blue zip up hoodie. Has pockets. Under armour. Small mark on back of elbow, have not tried to remove. Please see pic."
208,Samsung HDMI cord,3,Electronics/Cell Phones & Accessories/Cables & Adapters,Samsung,7,0,Some type of Samsung hdmi cord or charger
209,North face Oso jacket,3,Kids/Girls (4+)/Coats & Jackets,The North Face,22,1,7/8 good condition smoke free home
211,Disneyland character key chain,2,Vintage & Collectibles/Accessories/Keychain,Disney,6,1,"Disneyland character key chain. Goofy, Minnie, Mickey, Donald Duck pictures on front and their signatures on back."
212,Mesh/Velvet Bodysuit,2,Women/Swimwear/One-Piece,FOREVER 21,20,1,"Thrifted find never worn personally, in good shape. Small, deep red velvet patterns, plunging back Plus caged Crop Top and Velvet dress"
219,Glamglow youthcleanse.,1,Beauty/Skin Care/Face,Estee Lauder,22,0,New. Hollywood California GLAMGLOW YOUTHCLEANSE. 5 fl.oz.liq.
222,Mori lee prom dress,2,Women/Dresses/Full-Length,Mori Lee,94,0,"Size 4-6? I'm a 32DD and 125lbs Just had a baby, do not sure of my size!"
223,HOLD Sherri hill prom black dress,1,Women/Dresses/Full-Length,Sherri Hill,109,0,"Gorgeous new with tags size 10 dress You will have a remarkable look with this dazzling Sherri Hill 2805. This evening gown is so classy with its sheer long sleeves. It is heavily embellished with fine sequin on its shoulders, upper arms and fitted bodice. The overall dress style is mermaid inspired which makes this gown more special. It also features a square neckline, fitted waistline and floor-length skirt that trails to the floor."
224,PINK ultimate fit half zip,2,"Men/Sweats & Hoodies/Sweatshirt, Pullover",PINK,22,0,Great condition worn 3 times. Just want a different color.
225,Glitter and matte eyeshadow palette,1,Beauty/Makeup/Makeup Palettes,Sephora,9,0,you get 1 eyeshadow palette with 4 matte shades and 6 glitter/shimmer shades i will ship quickly
226,Victoria's Secret pj set size med,3,Women/Other/Other,Victoria's Secret,18,0,Victoria's Secret hot pink pj set with tank top and pants. Size med
229,Berkley Bad Shad 5,1,Sports & Outdoors/Outdoors/Fishing,Berkley,13,1,Bread -new ready for you Get three lures One is Blue Back One is a Chameleon Pearl One is a Sexier Shad Lrresustible side roll and tail wag Slow Rise at pause Sll three are the same size Depth 6.5 ft Wright: 8g Length: 2in
230,Banana Republic Leather Boots Size 9,2,Women/Shoes/Boots,Banana Republic,21,0,"Like new black leather boots from Banana Republic. Not quite knee high, zips up inside, silver buckle detail and low heel. Great for walking! Size 9"
231,ABH Brow Powder Duo,1,Beauty/Makeup/Eyes,Sephora,14,0,"ABH Brow Powder Duo - Dark Brown ?NO TRADES ?NO LOWBALLING ?NO HOLDS, FIRST COME FIRST SERVE Feel free to ask me any questions you may have about the product Thank you! -Shyterria"
233,Rockstar Bundle (Xbox 360 / One),1,Electronics/Video Games & Consoles/Games,Xbox,38,1,Brand New! Factory Sealed! Fast & Free Shipping! Price is firm please don't ask! Includes: ? Grand Theft Auto IV Complete Edition ? Red Dead Redemption GOTY Edition
235,Under Armor Leggings,3,Women/Jeans/Leggings,Under Armour,14,0,Soft under armor leggings
236,Apt. 9 Hand/shoulder Bag,3,Women/Women's Handbags/Shoulder Bag,Apt. 9,16,0,"Good condition. Has adjustable shoulder strap. Black and white. Very roomy.15x10.5x4. Strap drop 22"" for shoulder and 7"" for hand straps."
237,Lego Harry Potter Years 1-4 Wii,2,Electronics/Video Games & Consoles/Games,Nintendo,19,0,Lego Harry Potter Years 1-4 Wii E10+ Warner Bros Games 2010
240,1998 SP Authentic Derek Jeter,2,Vintage & Collectibles/Trading Cards/Sports,MLB,3,1,1998 SP Authentic Derek Jeter #145
241,MK Vanilla Wallet Wristlet Phone Case,1,Women/Women's Accessories/Wallets,Michael Kors,80,0,"100% authentic Wristlet Phone Case, zip around, MK signature Vanilla Color Retail Price [rm] Firm price Check out my closet ??"
243,American Eagle high waisted shorts,2,Women/Pants/Other,American Eagle,22,0,Distressed high waisted shorts from AE. size 0
248,PANDORA DAZZLING DAISY CZ DANGLE CHARM,1,Women/Jewelry/Bracelets,PANDORA,27,1,NEW FREE SHIPPING
259,Simply Southern Pink Preppy Long Sleeve,1,Women/Tops & Blouses/T-Shirts,vineyard vines,14,1,Bubblegum Pink long sleeved SS pocket tee. Preppy Classy... Fun! Soft cotton. Such a cute shirt for fall. New with tags! Women's size small! Gorgeous shirt! Perfect gift! We are smoke free. Perfect gift!
260,Baby Bomber Jacket/ puffer jacket bundle,2,Kids/Boys 0-24 Mos/Coats & Jackets,Gap,26,0,Listing for buyer 2 jackets
262,Gray Under Armour pants,3,Sports & Outdoors/Apparel/Girls,Under Armour,15,1,Gray UA Straight-leg Pants w/turquoise trim. Like new.
267,Large Coach bag,3,Women/Women's Handbags/Totes & Shoppers,Coach,23,0,Large animal print coach bag
271,JBL Flip 2 Portable Bluetooth Speaker,3,"Electronics/TV, Audio & Surveillance/Portable Audio & Accessories",JBL,44,0,"Great speaker, comes with the charger!"
286,Forever 21 Pink Top,3,Women/Tops & Blouses/Blouse,FOREVER 21,11,0,*Worn once as part of my cat lady costume! *Will fit size: S & M *Stretchy *Fuzzy and warm *Light pink **WILL DO BUNDLES** *CHECK OUT MY OTHER ITEMS*
287,Set of all 7 Dragon Balls,2,Kids/Toys/Action Figures & Statues,Funimation Production,12,1,"Set of dragon balls made of hard plastic, great room decoration"
288,LuLaRoe OS hipster penguins,2,Women/Jeans/Leggings,LuLaRoe,27,1,"Brand new, never worn, no tag. Navy Blue background, red glasses. More pictures available on request."
294,NWOT Lululemon In the Present Pouch,2,Women/Women's Handbags/Other,Lululemon,42,0,NWOT Lululemon In the Present Pouch. 2 bags in 1!
296,Black booties,1,Women/Shoes/Boots,JustFab,31,0,Beautiful brand new in box booties with roses on the heel. They are a size 9.
300,Jordan iPhone case only for plus,1,"Electronics/Cell Phones & Accessories/Cases, Covers & Skins",Apple,5,1,JORDAN IPHONE CASE ONLY FOR IPHONE 6 plus iPhone 6s Plus ONLY
301,Free Shipping 38G Freya Bra,3,Women/Underwear/Bras,Freya,15,1,Lightly lined and underwire. Dark navy blue color with pink white and tan sparrows on it. Ship M-F only ?
303,Crocs,3,Women/Shoes/Loafers & Slip-Ons,Crocs,16,0,Super comfy crocs. The pull tab on right shoe is ripped. Please see picture.
309,Genuine Kids 2T Dress,2,Kids/Girls 2T-5T/Dresses,Osh Kosh B'gosh,6,1,In great condition
312,Men's Nike force shoes,4,Men/Shoes/Athletic,Nike,18,0,Some scuffs and creases
315,Reduced Lularoe os woodland creatures,1,"Women/Athletic Apparel/Pants, Tights, Leggings",Independent,32,1,"NEW!! Never worn or tried on. Lularoe buttery soft leggings HTF OS LuLaRoe Rudolph the Lularoe unicorn Red Nosed Reindeer and his woodland friends. Made in China Os fit 2-12 Tags:, lularoe, one size, llr, lula, NWT, BNWT, pattern, Christmas, leggings, present, gift, free shipping"
317,VS Pink Hoodie NWT/ FREE SHIPPING,1,Women/Sweaters/Hooded,PINK,44,0,Dark gray. Size XS. NWT
319,"??NYX SUEDE ""SANDSTORM"" LIQUID LIPPY??",1,Beauty/Makeup/Lips,NYX,9,1,"???CHOOSE 2 FOR [rm]??? ??PLEASE READ MY BIO BEFORE BUYING FROM MY CLOSET...THANKS!!?? ???????????????? ?**ALL ORDERS WILL BE PHOTOGRAPHED BEFORE SHIPMENT**? ??DISCOUNT ON BUNDLES?? ??(1) NYX SUEDE ""SANDSTORM"" LIQUID CREME LIPPY?? ?BRAND NEW AND SEALED? ?HIGHLY PIGMENTED? ?HIGH QUALITY? ?LONG LASTING? ?**Price is FAIR and FIRM**? Also check my closet for: Kylie Jenner Lip Kits Victoria's Secret/VS PINK Apparel Variety of Matte Liquid Lipsticks Lip Liners/Pencils Eye/Dip Brow Pomade And Much Much More!! Thanks for visiting Lisa J's Closet! Have a Great Day!!???"
321,Vera Bradley eyeglass case,2,Vintage & Collectibles/Accessories/Eyewear,Vera Bradley,10,0,Vera Bradley eyeglass case! Has zipper Brand new!! Any questions please ask
331,Comfort Colors!,2,Women/Tops & Blouses/T-Shirts,Comfort Colors,14,0,Super cute t-shirt!
332,0g tunnels,3,Women/Jewelry/Earrings,Hot Topic,6,1,No description yet
337,NEW Coach Ray Outline Sig High Tops,1,Women/Shoes/Fashion Sneakers,Coach,56,0,Coach Ray Signature High Tops. NEW never worn. Authentic. Size 6. Black with a bit of gold. Original price is [rm] plus tax
340,Miss me sz 28,3,Women/Jeans/Boot Cut,Miss Me,24,0,There are a few flaws as seen in 3rd picture. Bottom of legs and a black spot on front of left leg.
345,Tory Burch Gladiator Sandals 6.5,3,Women/Shoes/Sandals,Tory Burch,76,0,Tory Burch Gladiator Sandals 6.5. Tan Suede real zip Gladiator type sandal. Leather sole. Made in Brazil-Authentic. Good used condition.
346,Rae Dunn tea canister,1,Home/Kitchen & Dining/Coffee & Tea Accessories,Rae Dunn,60,0,Item is new and unused. I am not responsible for any damages during the shipping process. Ships via FedEx which may take slightly longer than usps.
347,H&M Polka Dot Nude Dress,2,"Women/Dresses/Above Knee, Mini",H&M,14,0,"¡ö? H&M Polka Dot Nude Dress ?¡ö CUTE, COMFORTABLE, HAS POCKETS ?No flaws ?SIZE small ????????????????????? Similar Styles melville express urbanoutfitters free people zara f21 forever 21 modcloth vintage"
348,Lipsense Bombshell,1,Beauty/Makeup/Lips,SeneGence,22,0,"Never used, new. I don't sell lipsense. Bought and never used"
349,Adidas runner,4,Men/Shoes/Athletic,Adidas,40,1,No description yet
351,LuLaRoe Halloween Frankenstein Leggings,2,"Women/Athletic Apparel/Pants, Tights, Leggings",Independent,24,0,LuLaRoe Leggings One Size Halloween Frankenstein Print New Without Tag Never Worn Or Washed
357,Murad Skincare Lot,1,Beauty/Skin Care/Face,Sephora,14,1,Murad Skincare Lot Includes: Murad Essential C Cleanser 1.5 oz Murad Instant Radiance Eye Cream .12 oz Murad Rapid Age Spot and Pigment Lightening Serum .25 oz Murad Invisiblur Perfecting Shield 2x .17 oz Foils: 2x Murad Invisiblur Perfecting Shield
359,Express Peplum Top,3,"Women/Tops & Blouses/Tank, Cami",Express,10,1,Blue and black peplum tank top from express with zipper closure. Great condition.
361,Zara baby boy sweater size 18/24,2,Kids/Boys 0-24 Mos/Tops & T-Shirts,Gap,12,1,Zara pumpkin Halloween sweater Worn for a few mins
365,Marc jacobs Pretty Nylon Backpack Black,2,Women/Women's Handbags/Backpack Style,MARC BY MARC JACOBS,106,0,Perfect condition!
366,Women's Nike Dri Fit Shorts,1,Women/Athletic Apparel/Shorts,Nike,15,1,? FREE SHIPPING! ? brand new with tags ? size medium
367,New Adidas Baseball Cleats/Spikes/Shoes,2,Sports & Outdoors/Footwear/Cleats,Adidas,40,0,"Adidas Men's/Boys Baseball Cleats / Spikes / Shoes Brand New - Never Worn Size 8.5 Men's Color: Black and White Rubber/Plastic Cleat Material From a smoke free, pet free home."
368,North Face Polartec Fleece Jacket,3,Women/Coats & Jackets/Fleece Jacket,The North Face,16,1,"Light Blue, Size medium women's. Light pilling, price reflected. Chest measurement: 22 "" Length"" 23.5 "" Coat"
370,3 new pairs pink socks and free ty gift,2,Women/Athletic Apparel/Socks,PINK,8,1,3 new pairs pink socks and free ty gift and free shipping
374,Nwt Men's 32x30 Jeans,1,"Men/Jeans/Slim, Skinny",Carbon,12,0,Dark wash.
375,VS PINK LOGO BAND BOYSHORTS,1,Women/Underwear/Panties,PINK,16,1,BRAND NEW TAGS ATTACHED VS PINK LOGO BAND BOYSHORTS SIZE MEDIUM!! PRICE IS FIRM!!
376,2 Liz Lange maternity dresses new medium,1,Women/Maternity/Dresses,Liz Lange,9,0,2 Liz Lange maternity dress Medium Approximately retail [rm]+ Bundle wholesale boxes 1. Please note the line through the tags (This doesn't hurt the item it is to prevent returning to the store since this is overstocked items still being sold at retail in many locations) 2. Pricing is firm this is close out pricing 3. I can't switch for items in another box or add subtract items 4. Ask questions before purchasing :) Follow me I have more boxes to list. Great for resale Box number 33 For shipping purposes
377,Lululemon skinny women's pants size 6,3,"Women/Athletic Apparel/Pants, Tights, Leggings",lululemon athletica,40,0,"Lululemon Run Inspire Crop Skinny Women's Pants 6 FAST SHIP! Great. Measurements taken by hand: Waist Laying Flat Across a Ruler: 13.5"" inches. Inseam: 20.5"" inches. Leg Opening: 5"" inches."
378,Reserved For Aria donotbuy! Only Aria,1,Women/Jewelry/Bracelets,Kendra Scott,165,1,NWOT Rare Mystic Bazaar Pinch Bracelet Set in Rhodium w Howlite & clear stones. Excellent condition. I have several of these I will post. Price is firm
382,2 pairs born and soft sandals size 9,3,Women/Shoes/Sandals,Born,16,0,Two pairs of sandals one born one soft
383,Tye Dye Ivory Ella Long Sleeve,2,Women/Tops & Blouses/T-Shirts,Ivory Ella,13,0,No description yet
